iteration,in_resolution,in_location_of_explosion,in_strength_of_explosion,out_volume,out_distance,out_angle
163,3,0,4,29717,16.95,14
164,4,0,4,42312,19.07,14
165,5,0,4,35905,20.9,14
166,6,0,4,47790,22.99,14
167,7,0,4,34053,24.49,14
168,0,1,4,30739,11.16,14
169,1,1,4,28580,13.5,14
170,2,1,4,32906,16.29,14
171,3,1,4,30279,17.82,14
172,4,1,4,43112,20.05,14
173,5,1,4,35560,21.38,14
174,6,1,4,47330,23.52,14
175,7,1,4,34053,24.49,14
176,0,2,4,31114,11.01,14
177,1,2,4,30104,13.98,14
178,2,2,4,32131,16.22,14
179,3,2,4,30496,17.77,14
180,4,2,4,43421,19.99,14
181,5,2,4,35199,20.87,14
182,6,2,4,46850,22.96,14
183,7,2,4,33372,25.65,14
184,0,3,4,31069,11.15,14
185,1,3,4,29957,14.18,14
186,2,3,4,33100,16.61,14
187,3,3,4,31617,18.51,14
188,4,3,4,45054,20.83,14
189,5,3,4,35560,21.38,14
190,6,3,4,47330,23.52,14
191,7,3,4,31193,24.07,10
192,0,4,4,30864,11.05,14
193,1,4,4,29645,14.12,14
194,2,4,4,32266,16.17,14
195,3,4,4,32340,18.66,14
196,4,4,4,46047,20.99,14
197,5,4,4,35905,20.9,14
198,6,4,4,47790,22.99,14
199,7,4,4,34452,25.11,14
